Name,Position,PositionDB,DOB,College,Draft Team,Draft Round,Pick Number,Draft Year
Roddrick Muckelroy, Linebacker,LB,1986-10-27,Texas,Bengals,4,131,2010
Roddy White, Wide Receiver,WR,1981-11-02,Alabama-Birmingham,Falcons,1,27,2005
Roderick Hood, Defensive Back,DB,1981-10-03,Auburn,,,,
Rodger Saffold, Offensive Tackle,OL,1988-06-06,Indiana,Rams,2,33,2010
Rodney Gunter, Defensive Tackle,DL,1992-01-19,Delaware State,Cardinals,4,116,2015
Rodney Hudson, Center,OL,1989-07-12,Florida State,Chiefs,2,55,2011
Rodney Leisle, Defensive Tackle,DL,1981-02-05,UCLA,Saints,5,139,2004
Rodney McLeod, Defensive Back,DB,1990-06-23,Virginia,,,,
Rodney Smith, Wide Receiver,WR,1990-03-11,Florida State,,,,
Rolando McClain, Linebacker,LB,1989-07-14,Alabama,Raiders,1,8,2010
Roman Harper, Defensive Back,DB,1982-12-11,Alabama,Saints,2,43,2006
Ron Brace, Defensive Tackle,DL,1986-12-18,Boston College,Patriots,2,40,2009
Ron Brooks, Defensive Back,DB,1988-10-16,Louisiana State,Bills,4,124,2012
Ron Parker, Defensive Back,DB,1987-08-17,Newberry,,,,
Ronald Bartell, Defensive Back,DB,1982-02-22,Howard,Rams,2,50,2005
Ronald Darby, Defensive Back,DB,1994-01-02,Florida State,Bills,2,50,2015
Ronald Fields, Defensive Tackle,DL,1981-09-13,Mississippi State,49ers,5,137,2005
Ronald Leary, Offensive Guard,OL,1989-04-29,Memphis,,,,
Ronald Powell, Linebacker,LB,1991-05-14,Florida,Saints,5,169,2014
Ronald Talley, Defensive End,DL,1986-02-21,Delaware,,,,
Ronde Barber, Defensive Back,DB,1975-04-07,Virginia,Buccaneers,3,66,
Ronnie Brown, Running Back,RB,1981-12-12,Auburn,Dolphins,1,2,2005
Ronnie Hillman, Running Back,RB,1991-09-14,San Diego State,Broncos,3,67,2012
Ronnie Wingo, Running Back,RB,1991-02-18,Arkansas,,,,
Rontez Miles, Defensive Back,DB,1988-11-25,California (PA),,,,
Ropati Pitoitua, Defensive End,DL,1985-04-06,Washington State,,,,
Roscoe Parrish, Wide Receiver,WR,1982-07-16,Miami,Bills,2,55,2005
Ross Cockrell, Defensive Back,DB,1991-08-06,Duke,Bills,4,109,2014
Ross Ventrone, Defensive Back,DB,1986-09-27,Villanova,,,,
Roy Helu, Running Back,RB,1988-12-07,Nebraska,Redskins,4,105,2011
Roy Lewis, Defensive Back,DB,1985-05-19,Washington,,,,
Roy Miller, Defensive Tackle,DL,1987-07-09,Texas,Buccaneers,3,81,2009
Roydell Williams, Wide Receiver,WR,1981-03-14,Tulane,Titans,4,136,2005
Rudy Niswanger, Center,OL,1982-11-09,Louisiana State,,,,
Rueben Randle, Wide Receiver,WR,1991-05-07,Louisiana State,Giants,2,63,2012
Rufus Johnson, Defensive End,DL,1990-08-28,Tarleton State,Saints,6,183,2013
Russ Hochstein, Offensive Guard,OL,1977-10-07,Nebraska,Buccaneers,5,151,2001
Russell Allen, Linebacker,LB,1986-05-05,San Diego State,,,,
Russell Bodine, Center,OL,1992-06-30,North Carolina,Bengals,4,111,2014
Russell Okung, Offensive Tackle,OL,1988-10-07,Oklahoma State,Seahawks,1,6,2010
Russell Shepard, Wide Receiver,WR,1990-09-17,Louisiana State,,,,
Russell Wilson, Quarterback,QB,1988-11-29,Wisconsin,Seahawks,3,75,2012
Rusty Smith, Quarterback,QB,1987-01-28,Florida Atlantic,Titans,6,176,2010
Ruvell Martin, Wide Receiver,WR,1982-08-10,Saginaw Valley State,,,,
Ryan Allen, Punter,P,1990-02-28,Louisiana Tech,,,,
Ryan Baker, Defensive End,DL,1984-11-25,Purdue,,,,
Ryan Broyles, Wide Receiver,WR,1988-04-09,Oklahoma,Lions,2,54,2012
Ryan Carrethers, Defensive Tackle,DL,1991-02-26,Arkansas State,Chargers,5,165,2014
Ryan Clady, Offensive Tackle,OL,1986-09-06,Boise State,Broncos,1,12,2008
Ryan Clark, Defensive Back,DB,1979-10-12,Louisiana State,,,,
Ryan Cook, Center,OL,1983-05-08,New Mexico,Vikings,2,51,2006
Ryan D'Imperio, Linebacker,LB,1987-08-15,Rutgers,Vikings,7,237,2010
Ryan Davis, Defensive End,DL,1989-02-24,Bethune-Cookman,,,,
Ryan Delaire, Defensive End,DL,1992-01-17,Towson,,,,
Ryan Denney, Defensive End,DL,1977-06-15,Brigham Young,Bills,2,61,2002
Ryan Diem, Offensive Guard,OL,1979-07-01,Northern Illinois,Colts,4,118,2001
Ryan Donahue, Punter,P,1988-03-17,Iowa,,,,
Ryan Fitzpatrick, Quarterback,QB,1982-11-24,Harvard,Rams,7,250,2005
Ryan Fowler, Linebacker,LB,1982-05-20,Duke,,,,
Ryan Harris, Offensive Tackle,OL,1985-03-11,Notre Dame,Broncos,3,70,2007
Ryan Hewitt, Tight End,TE,1991-01-24,Stanford,,,,
Ryan Kalil, Center,OL,1985-03-29,Southern California,Panthers,2,59,2007
Ryan Kerrigan, Defensive End,DL,1988-08-16,Purdue,Redskins,1,16,2011
Ryan Lilja, Offensive Guard,OL,1981-10-15,Kansas State,,,,
Ryan Lindley, Quarterback,QB,1989-06-22,San Diego State,Cardinals,6,185,2012
Ryan Longwell, Kicker,K,1974-08-16,California,,,,
Ryan Mahaffey, Running Back,RB,1987-11-28,Northern Iowa,,,,
Ryan Mallett, Quarterback,QB,1988-06-05,Arkansas,Patriots,3,74,2011
Ryan Mathews, Running Back,RB,1987-10-10,Fresno State,Chargers,1,12,2010
Ryan McBean, Defensive Tackle,DL,1984-04-23,Oklahoma State,Steelers,4,132,2007
Ryan Moats, Running Back,RB,1982-12-17,Louisiana Tech,Eagles,3,77,2005
Ryan Mouton, Defensive Back,DB,1986-09-23,Hawaii,Titans,3,94,2009
Ryan Mundy, Defensive Back,DB,1985-02-11,West Virginia,Steelers,6,194,2008
Ryan Nassib, Quarterback,QB,1990-03-10,Syracuse,Giants,4,110,2013
Ryan O'Callaghan, Offensive Guard,OL,1983-07-19,California,Patriots,5,136,2006
Ryan Pickett, Defensive Tackle,DL,1979-10-08,Ohio State,Rams,1,29,2001
Ryan Pontbriand, Center,OL,1979-10-01,Rice,Browns,5,142,2003
Ryan Purvis, Tight End,TE,1986-05-08,Boston College,,,,
Ryan Quigley, Punter,P,1990-01-26,Boston College,,,,
Ryan Robinson, Defensive End,DL,1990-12-09,Oklahoma State,,,,
Ryan Schraeder, Offensive Tackle,OL,1988-05-04,Valdosta State,,,,
Ryan Shazier, Linebacker,LB,1992-09-06,Ohio State,Steelers,1,15,2014
Ryan Sims, Defensive Tackle,DL,1980-05-04,North Carolina,Chiefs,1,6,2002
Ryan Spadola, Wide Receiver,WR,1991-02-15,Lehigh,,,,
Ryan Succop, Kicker,K,1986-09-19,South Carolina,Chiefs,7,256,2009
Ryan Tannehill, Quarterback,QB,1988-07-27,Texas A&M,Dolphins,1,8,2012
Ryan Torain, Running Back,RB,1985-03-15,Arizona State,Broncos,5,139,2008
Ryan Wendell, Center,OL,1986-03-04,Fresno State,,,,
Ryan Whalen, Wide Receiver,WR,1989-07-26,Stanford,Bengals,6,167,2011
Saalim Hakim, Wide Receiver,WR,1990-02-01,Tarleton State,,,,
Sabby Piscitelli, Defensive Back,DB,1983-08-24,Oregon State,Buccaneers,2,64,2007
Sage Rosenfels, Quarterback,QB,1978-03-06,Iowa State,Redskins,4,109,2001
Sam Acho, Defensive End,DL,1988-09-06,Texas,Cardinals,4,103,2011
Sam Aiken, Wide Receiver,WR,1980-12-14,North Carolina,Bills,4,127,2003
Sam Barrington, Linebacker,LB,1990-10-05,South Florida,Packers,7,232,2013
Sam Bradford, Quarterback,QB,1987-11-08,Oklahoma,Rams,1,1,2010
Sam Giguere, Wide Receiver,WR,1985-07-11,Sherbrooke,,,,
Sam Hurd, Wide Receiver,WR,1985-04-24,Northern Illinois,,,,
Sam Koch, Punter,P,1982-08-13,Nebraska,Ravens,6,203,2006
Sam Paulescu, Punter,P,1984-04-18,Oregon State,,,,
Sam Shields, Defensive Back,DB,1987-12-08,Miami,,,,
Samkon Gado, Running Back,RB,1982-11-13,Liberty,,,,
Sammie Coates, Wide Receiver,WR,1993-03-31,Auburn,Steelers,3,87,2015
Sammie Stroughter, Wide Receiver,WR,1986-01-03,Oregon State,Buccaneers,7,233,2009
Sammy Morris, Running Back,RB,1977-03-23,Texas Tech,Bills,5,156,2000
Sammy Watkins, Wide Receiver,WR,1993-06-14,Clemson,Bills,1,4,2014
Samson Satele, Center,OL,1984-11-29,Hawaii,Dolphins,2,60,2007
Sanders Commings, Defensive Back,DB,1990-03-08,Georgia,Chiefs,5,134,2013
Santana Moss, Wide Receiver,WR,1979-06-01,Miami,Jets,1,16,2001
Santonio Holmes, Wide Receiver,WR,1984-03-03,Ohio State,Steelers,1,25,2006
Saverio Rocca, Punter,P,1973-11-20,,,,,
Scott Chandler, Tight End,TE,1985-07-23,Iowa,Chargers,4,129,2007
Scott Crichton, Defensive End,DL,1991-10-30,Oregon State,Vikings,3,72,2014
Scott Fujita, Linebacker,LB,1979-04-28,California,Chiefs,5,143,2002
Scott Lutrus, Linebacker,LB,1988-04-23,Connecticut,,,,
Scott McKillop, Linebacker,LB,1986-03-04,Pittsburgh,49ers,5,146,2009
Scott Mruczkowski, Center,OL,1982-04-05,Bowling Green,Chargers,7,242,2005
Scott Paxson, Defensive Tackle,DL,1983-02-03,Penn State,,,,
Scott Shanle, Linebacker,LB,1979-11-23,Nebraska,Rams,7,251,2003
Scott Simonson, Tight End,TE,1992-04-13,Assumption,,,,
Scott Solomon, Defensive End,DL,1988-11-05,Rice,Titans,7,211,2012
Scott Starks, Defensive Back,DB,1983-06-27,Wisconsin,Jaguars,3,87,2005
Scott Tolzien, Quarterback,QB,1987-09-04,Wisconsin,,,,
Scott Wells, Center,OL,1981-01-07,Tennessee,Packers,7,251,2004
Sealver Siliga, Defensive Tackle,DL,1990-04-26,Utah,,,,
Sean Baker, Defensive Back,DB,1988-11-06,Ball State,,,,
Sean Considine, Defensive Back,DB,1981-10-28,Iowa,Eagles,4,102,2005
Sean Lee, Linebacker,LB,1986-07-22,Penn State,Cowboys,2,55,2010
Sean Lissemore, Defensive Tackle,DL,1987-09-11,William & Mary,Cowboys,7,234,2010
Sean Mahan, Offensive Guard,OL,1980-05-28,Notre Dame,Buccaneers,5,168,2003
Sean Mannion, Quarterback,QB,1992-04-25,Oregon State,Rams,3,89,2015
Sean McGrath, Tight End,TE,1987-12-03,Henderson State,,,,
Sean Morey, Wide Receiver,WR,1976-02-26,Brown,Patriots,7,241,
Sean Renfree, Quarterback,QB,1990-04-28,Duke,Falcons,7,249,2013
Sean Richardson, Defensive Back,DB,1990-01-21,Vanderbilt,,,,
Sean Ryan, Tight End,TE,1980-03-27,Boston College,Cowboys,5,144,2004
Sean Spence, Linebacker,LB,1990-06-07,Miami,Steelers,3,86,2012
Sean Weatherspoon, Linebacker,LB,1987-12-29,Missouri,Falcons,1,19,2010
Seantavius Jones, Wide Receiver,WR,1992-08-09,Valdosta State,,,,
Seantrel Henderson, Offensive Tackle,OL,1992-01-21,Miami,Bills,7,237,2014
Sebastian Janikowski, Kicker,K,1978-03-02,Florida State,Raiders,1,17,2000
Sebastian Vollmer, Offensive Tackle,OL,1984-07-10,Houston,Patriots,2,58,2009
Sedrick Ellis, Defensive Tackle,DL,1986-11-09,Southern California,Saints,1,7,2008
Sen'Derrick Marks, Defensive Tackle,DL,1987-02-23,Auburn,Titans,2,62,2009
Seneca Wallace, Quarterback,QB,1980-08-06,Iowa State,Seahawks,4,110,2003
Senio Kelemete, Offensive Guard,OL,1990-05-10,Washington,Cardinals,5,151,2012
Senorise Perry, Running Back,RB,1991-09-19,Louisville,,,,
Sergio Brown, Defensive Back,DB,1988-05-22,Notre Dame,,,,
Sergio Kindle, Defensive End,DL,1987-09-20,Texas,Ravens,2,43,2010
Seth Roberts, Wide Receiver,WR,1991-02-22,West Alabama,,,,
Seyi Ajirotutu, Wide Receiver,WR,1987-06-12,Fresno State,,,,
Shamar Stephen, Defensive Tackle,DL,1991-02-25,Connecticut,Vikings,7,220,2014
Shamarko Thomas, Defensive Back,DB,1991-02-23,Syracuse,Steelers,4,111,2013
Shamiel Gary, Defensive Back,DB,1990-05-31,Oklahoma State,,,,
Shane Andrus, Kicker,K,1980-10-02,Murray State,,,,
Shane Lechler, Punter,P,1976-08-07,Texas A&M,Raiders,5,142,2000
Shane Ray, Defensive End,DL,1993-05-18,Missouri,Broncos,1,23,2015
Shane Vereen, Running Back,RB,1989-03-02,California,Patriots,2,56,2011
Shann Schillinger, Defensive Back,DB,1986-05-22,Montana,Falcons,6,171,2010
Shaq Thompson, Linebacker,LB,1994-04-21,Washington,Panthers,1,25,2015
Shaquil Barrett, Linebacker,LB,1992-11-17,Colorado State,,,,
Shareece Wright, Defensive Back,DB,1987-04-08,Southern California,Chargers,3,89,2011
Sharrif Floyd, Defensive Tackle,DL,1991-05-28,Florida,Vikings,1,23,2013
Shaun Chapas, Running Back,RB,1988-05-02,Georgia,Cowboys,7,220,2011
Shaun Cody, Defensive Tackle,DL,1983-01-22,Southern California,Lions,2,37,2005
Shaun Draughn, Running Back,RB,1987-12-07,North Carolina,,,,
Shaun Ellis, Defensive End,DL,1977-06-24,Tennessee,Jets,1,12,2000
Shaun Hill, Quarterback,QB,1980-01-09,Maryland,,,,
Shaun O'Hara, Center,OL,1977-06-23,Rutgers,,,,
Shaun Phillips, Defensive End,DL,1981-05-13,Purdue,Chargers,4,98,2004
Shaun Prater, Defensive Back,DB,1989-10-27,Iowa,Bengals,5,156,2012
Shaun Rogers, Defensive Tackle,DL,1979-03-12,Texas,Lions,2,61,2001
Shaun Suisham, Kicker,K,1981-12-29,Bowling Green,,,,
Shawn Andrews, Offensive Tackle,OL,1982-12-25,Arkansas,Eagles,1,16,2004
Shawn Crable, Linebacker,LB,1984-12-26,Michigan,Patriots,3,78,2008
Shawn Lauvao, Offensive Tackle,OL,1987-10-26,Arizona State,Browns,3,92,2010
Shawn Nelson, Tight End,TE,1985-10-05,Southern Mississippi,Bills,4,121,2009
Shawn Powell, Punter,P,1988-11-29,Florida State,,,,
Shawn Springs, Defensive Back,DB,1975-03-11,Ohio State,Seahawks,1,3,
Shawn Williams, Defensive Back,DB,1991-05-13,Georgia,Bengals,3,84,2013
Shawne Merriman, Linebacker,LB,1984-05-25,Maryland,Chargers,1,12,2005
Shawntae Spencer, Defensive Back,DB,1982-02-22,Pittsburgh,49ers,2,58,2004
Shayne Graham, Kicker,K,1977-12-09,Virginia Tech,,,,
Shea McClellin, Linebacker,LB,1989-08-01,Boise State,Bears,1,19,2012
Shelby Harris, Defensive End,DL,1991-08-11,Illinois State,Raiders,7,235,2014
Sheldon Brown, Defensive Back,DB,1979-03-19,South Carolina,Eagles,2,59,2002
Sheldon Price, Defensive Back,DB,1991-03-26,UCLA,,,,
Sheldon Richardson, Defensive Tackle,DL,1990-11-29,Missouri,Jets,1,13,2013
Shelton Johnson, Defensive Back,DB,1990-07-16,Wisconsin,,,,
Sherrick McManis, Defensive Back,DB,1987-12-19,Northwestern,Texans,5,144,2010
Sherrod Martin, Defensive Back,DB,1984-10-12,Troy State,Panthers,2,59,2009
Shiloh Keo, Defensive Back,DB,1987-12-17,Idaho,Texans,5,144,2011
Shonn Greene, Running Back,RB,1985-08-21,Iowa,Jets,3,65,2009
Sidney Rice, Wide Receiver,WR,1986-09-01,South Carolina,Vikings,2,44,2007
Silas Redd, Running Back,RB,1992-03-01,Southern California,,,,
Sinorice Moss, Wide Receiver,WR,1983-12-28,Miami,Giants,2,44,2006
Sio Moore, Linebacker,LB,1990-05-02,Connecticut,Raiders,3,66,2013
Sione Fua, Defensive Tackle,DL,1988-06-15,Stanford,Panthers,3,97,2011
Sione Pouha, Defensive Tackle,DL,1979-02-03,Utah,Jets,3,88,2005
Skye Dawson, Wide Receiver,WR,1990-12-02,Texas Christian,,,,
Slade Norris, Linebacker,LB,1985-10-25,Oregon State,Raiders,4,126,2009
Solomon Patton, Wide Receiver,WR,1990-10-17,Florida,,,,
Spencer Adkins, Linebacker,LB,1987-05-16,Miami,Falcons,6,176,2009
Spencer Havner, Linebacker,LB,1983-02-02,UCLA,,,,
Spencer Johnson, Defensive Tackle,DL,1981-12-12,Auburn,,,,
Spencer Lanning, Punter,P,1988-05-21,South Carolina,,,,
Spencer Larsen, Linebacker,LB,1984-03-04,Arizona,Broncos,6,183,2008
Spencer Long, Offensive Guard,OL,1990-11-08,Nebraska,Redskins,3,78,2014
Spencer Paysinger, Linebacker,LB,1988-06-28,Oregon,,,,
Spencer Ware, Running Back,RB,1991-11-23,Louisiana State,Seahawks,6,194,2013
Stacy Andrews, Offensive Tackle,OL,1981-06-02,Mississippi,Bengals,4,123,2004
Stacy McGee, Defensive Tackle,DL,1990-01-17,Oklahoma,Raiders,6,205,2013
Stanford Keglar, Linebacker,LB,1985-09-30,Purdue,Titans,4,134,2008
Stanford Routt, Defensive Back,DB,1983-07-23,Houston,Raiders,2,38,2005
Stanley Arnoux, Linebacker,LB,1986-09-09,Wake Forest,Saints,4,118,2009
Stanley Havili, Running Back,RB,1987-11-14,Southern California,Eagles,7,240,2011
Stansly Maponga, Defensive End,DL,1991-03-05,Texas Christian,Falcons,5,153,2013
Star Lotulelei, Defensive Tackle,DL,1989-12-20,Utah,Panthers,1,14,2013
Stedman Bailey, Wide Receiver,WR,1990-11-11,West Virginia,Rams,3,92,2013
Stefan Charles, Defensive Tackle,DL,1988-06-09,Regina,,,,
Stefan Logan, Running Back,RB,1981-06-02,South Dakota,,,,
Stefen Wisniewski, Center,OL,1989-03-22,Penn State,Raiders,2,48,2011
Stefon Diggs, Wide Receiver,WR,1993-11-29,Maryland,Vikings,5,146,2015
Stepfan Taylor, Running Back,RB,1991-06-09,Stanford,Cardinals,5,140,2013
Stephen Bowen, Defensive End,DL,1984-03-28,Hofstra,,,,
Stephen Burton, Wide Receiver,WR,1989-12-11,West Texas A&M,Vikings,7,236,2011
Stephen Cooper, Linebacker,LB,1979-06-19,Maine,,,,
Stephen Franklin, Linebacker,LB,1988-09-26,Southern Illinois,,,,
Stephen Gostkowski, Kicker,K,1984-01-28,Memphis,Patriots,4,118,2006
Stephen Hill, Wide Receiver,WR,1991-04-25,Georgia Tech,Jets,2,43,2012
Stephen McGee, Quarterback,QB,1985-09-27,Texas A&M,Cowboys,4,101,2009
Stephen Nicholas, Linebacker,LB,1983-05-01,South Florida,Falcons,4,109,2007
Stephen Paea, Defensive Tackle,DL,1988-05-11,Oregon State,Bears,2,53,2011
Stephen Peterman, Offensive Guard,OL,1982-01-11,Louisiana State,Cowboys,3,83,2004
Stephen Schilling, Offensive Guard,OL,1988-07-21,Michigan,Chargers,6,201,2011
Stephen Spach, Tight End,TE,1982-07-18,Fresno State,,,,
Stephen Tulloch, Linebacker,LB,1985-01-01,North Carolina State,Titans,4,116,2006
Stephon Gilmore, Defensive Back,DB,1990-09-19,South Carolina,Bills,1,10,2012
Stephon Heyer, Offensive Guard,OL,1984-01-16,Maryland,,,,
Stephon Tuitt, Defensive Tackle,DL,1993-05-23,Notre Dame,Steelers,2,46,2014
Stephone Anthony, Linebacker,LB,1992-07-28,Clemson,Saints,1,31,2015
Sterling Moore, Defensive Back,DB,1990-02-03,Southern Methodist,,,,
Stevan Ridley, Running Back,RB,1989-01-27,Louisiana State,Patriots,3,73,2011
Steve Beauharnais, Linebacker,LB,1990-05-02,Rutgers,Patriots,7,235,2013
Steve Breaston, Wide Receiver,WR,1983-08-20,Michigan,Cardinals,5,142,2007
Steve Gregory, Defensive Back,DB,1983-01-08,Syracuse,,,,
Steve Heiden, Tight End,TE,1976-09-21,South Dakota State,Chargers,3,69,
Steve Hutchinson, Offensive Guard,OL,1977-11-01,Michigan,Seahawks,1,17,2001
Steve Maneri, Tight End,TE,1988-03-20,Temple,,,,
Steve McLendon, Defensive Tackle,DL,1986-01-03,Troy State,,,,
Steve Octavien, Linebacker,LB,1984-11-25,Nebraska,,,,
Steve Slaton, Running Back,RB,1986-01-04,West Virginia,Texans,3,89,2008
Steve Vallos, Offensive Tackle,OL,1983-12-28,Wake Forest,Seahawks,7,232,2007
Steve Weatherford, Punter,P,1982-12-17,Illinois,,,,
Steven Hauschka, Kicker,K,1985-06-29,North Carolina State,,,,
Steven Jackson, Running Back,RB,1983-07-22,Oregon State,Rams,1,24,2004
Steven Johnson, Linebacker,LB,1988-03-28,Kansas,,,,
Steven Means, Defensive End,DL,1990-09-16,Buffalo,Buccaneers,5,147,2013
Steven Nelson, Defensive Back,DB,1993-11-22,Oregon State,Chiefs,3,98,2015
Steven Terrell, Defensive Back,DB,1990-09-21,Texas A&M,,,,
Stevenson Sylvester, Linebacker,LB,1988-07-18,Utah,Steelers,5,166,2010
Stevie Brown, Defensive Back,DB,1987-07-17,Michigan,Raiders,7,251,2010
Stewart Bradley, Linebacker,LB,1983-11-02,Nebraska,Eagles,3,87,2007
Storm Johnson, Running Back,RB,1992-07-10,Central Florida,Jaguars,7,222,2014
Sylvester Williams, Defensive Tackle,DL,1988-11-21,North Carolina,Broncos,1,28,2013
T.J. Barnes, Defensive Tackle,DL,1990-06-14,Georgia Tech,,,,
T.J. Clemmings, Offensive Tackle,OL,1991-11-18,Pittsburgh,Vikings,4,110,2015
T.J. Conley, Punter,P,1985-08-29,Idaho,,,,
T.J. Fatinikun, Defensive Line,DL,1991-07-28,Toledo,,,,
T.J. Graham, Wide Receiver,WR,1989-07-27,North Carolina State,Bills,3,69,2012
T.J. Houshmandzadeh, Wide Receiver,WR,1977-09-26,Oregon State,Bengals,7,204,2001
T.J. Lang, Offensive Tackle,OL,1987-09-20,Eastern Michigan,Packers,4,109,2009
T.J. McDonald, Defensive Back,DB,1991-01-26,Southern California,Rams,3,71,2013
T.J. Rushing, Defensive Back,DB,1983-06-08,Stanford,Colts,7,238,2006
T.J. Ward, Defensive Back,DB,1986-12-12,Oregon,Browns,2,38,2010
T.J. Yates, Quarterback,QB,1987-05-28,North Carolina,Texans,5,152,2011
T.J. Yeldon, Running Back,RB,1993-10-02,Alabama,Jaguars,2,36,2015
T.Y. Hilton, Wide Receiver,WR,1989-11-14,Florida International,Colts,3,92,2012
T.Y. McGill, Defensive Tackle,DL,1992-11-23,North Carolina State,,,,
Tahir Whitehead, Linebacker,LB,1990-04-02,Temple,Lions,5,138,2012
Taj Smith, Wide Receiver,WR,1983-09-30,Syracuse,,,,
Takeo Spikes, Linebacker,LB,1976-12-17,Auburn,Bengals,1,13,
Tamba Hali, Defensive End,DL,1983-12-03,Penn State,Chiefs,1,20,2006
Tanard Jackson, Defensive Back,DB,1985-07-21,Syracuse,Buccaneers,4,106,2007
Tandon Doss, Wide Receiver,WR,1989-09-22,Indiana,Ravens,4,123,2011
Tank Carder, Linebacker,LB,1989-01-18,Texas Christian,Bills,5,147,2012
Tank Johnson, Defensive Tackle,DL,1981-12-07,Washington,Bears,2,47,2004
Tanner Purdum, Long Snapper,OL,1984-08-15,Baker,,,,
Tarell Brown, Defensive Back,DB,1985-01-06,Texas,49ers,5,147,2007
Tarvaris Jackson, Quarterback,QB,1983-04-21,Alabama State,Vikings,2,64,2006
Tashard Choice, Running Back,RB,1986-05-07,Georgia Tech,Cowboys,4,122,2008
Tashaun Gipson, Defensive Back,DB,1990-08-07,Wyoming,,,,
Tauren Poole, Running Back,RB,1989-10-19,Tennessee,,,,
Tavares Gooden, Linebacker,LB,1984-10-07,Miami,Ravens,3,71,2008
Tavaris Barnes, Defensive Line,DL,1991-11-02,Clemson,,,,
Tavarres King, Wide Receiver,WR,1990-07-14,Georgia,Broncos,5,161,2013
Tavon Austin, Wide Receiver,WR,1991-03-15,West Virginia,Rams,1,8,2013
Tavon Wilson, Defensive Back,DB,1990-03-19,Illinois,Patriots,2,48,2012
Taylor Gabriel, Wide Receiver,WR,1991-02-17,Abilene Christian,,,,
Taylor Hart, Defensive End,DL,1991-02-22,Oregon,Eagles,5,141,2014
Taylor Mays, Defensive Back,DB,1988-02-07,Southern California,49ers,2,49,2010
Taylor Price, Wide Receiver,WR,1987-10-08,Ohio,Patriots,3,90,2010
Taylor Thompson, Defensive End,DL,1989-10-19,Southern Methodist,Titans,5,145,2012
Ted Larsen, Offensive Guard,OL,1987-06-13,North Carolina State,Patriots,6,205,2010
Teddy Bridgewater, Quarterback,QB,1992-11-10,Louisville,Vikings,1,32,2014
Teddy Williams, Wide Receiver,WR,1988-07-03,Texas-San Antonio,,,,
Telvin Smith, Linebacker,LB,1991-04-11,Florida State,Jaguars,5,144,2014
Tenny Palepoi, Defensive End,DL,1990-12-19,Utah,,,,
Terdell Sands, Defensive Tackle,DL,1979-10-31,Tennessee-Chattanooga,Chiefs,7,243,2001
Terence Garvin, Linebacker,LB,1991-01-01,West Virginia,,,,
Terence Newman, Defensive Back,DB,1978-09-04,Kansas State,Cowboys,1,5,2003
Terrance Copper, Wide Receiver,WR,1982-03-12,East Carolina,,,,
Terrance Knighton, Defensive Tackle,DL,1986-07-04,Temple,Jaguars,3,72,2009
Terrance Mitchell, Defensive Back,DB,1992-05-17,Oregon,Cowboys,7,254,2014
Terrance West, Running Back,RB,1991-01-28,Towson,Browns,3,94,2014
Terrance Williams, Wide Receiver,WR,1989-09-08,Baylor,Cowboys,3,74,2013
Terrell McClain, Defensive Tackle,DL,1988-07-20,South Florida,Panthers,3,65,2011
Terrell Owens, Wide Receiver,WR,1973-12-07,Tennessee-Chattanooga,49ers,3,89,
Terrell Suggs, Defensive End,DL,1982-10-11,Arizona State,Ravens,1,10,2003
Terrell Thomas, Defensive Back,DB,1985-01-08,Southern California,Giants,2,63,2008
Terrelle Pryor, Quarterback,QB,1989-06-20,Ohio State,Raiders,3,,
Terrelle Smith, Running Back,RB,1978-03-12,Arizona State,Saints,4,96,2000
Terrence Austin, Wide Receiver,WR,1988-08-25,UCLA,Redskins,7,219,2010
Terrence Brooks, Defensive Back,DB,1992-03-02,Florida State,Ravens,3,79,2014
Terrence Cody, Defensive Tackle,DL,1988-06-28,Alabama,Ravens,2,57,2010
Terrence Fede, Defensive End,DL,1991-11-19,Marist,Dolphins,7,234,2014
Terrence Frederick, Defensive Back,DB,1990-02-10,Texas A&M,Steelers,7,246,2012
Terrence Johnson, Defensive Back,DB,1986-07-05,California (PA),,,,
Terrence McGee, Defensive Back,DB,1980-10-14,Northwestern State,Bills,4,111,2003
Terrence Wheatley, Defensive Back,DB,1985-05-05,Colorado,Patriots,2,62,2008
Terron Armstead, Offensive Tackle,OL,1991-07-23,Arkansas-Pine Bluff,Saints,3,75,2013
Terron Ward, Running Back,RB,1992-02-15,Oregon State,,,,
Tevin Coleman, Running Back,RB,1993-04-16,Indiana,Falcons,3,73,2015
Thaddeus Gibson, Defensive End,DL,1987-10-21,Ohio State,Steelers,4,116,2010
Thaddeus Lewis, Quarterback,QB,1987-11-19,Duke,,,,
Tharold Simon, Defensive Back,DB,1991-03-06,Louisiana State,Seahawks,5,138,2013
Theo Riddick, Running Back,RB,1991-05-04,Notre Dame,Lions,6,199,2013
Thomas Clayton, Running Back,RB,1984-04-26,Kansas State,49ers,6,186,2007
Thomas Davis, Defensive Back,DB,1983-03-22,Georgia,Panthers,1,14,2005
Thomas DeCoud, Defensive Back,DB,1985-03-19,California,Falcons,3,98,2008
Thomas Gafford, Long Snapper,OL,1983-01-29,Houston,,,,
Thomas Howard, Linebacker,LB,1983-07-14,Texas-El Paso,Raiders,2,38,2006
Thomas Johnson, Defensive Tackle,DL,1981-06-24,Middle Tennessee State,,,,
Thomas Keiser, Defensive Tackle,DL,1989-03-28,Stanford,,,,
